32   0 0 12 32
33 ! 0 0.003417969 7 32
34 " 0.00390625 0.012207031 17 32
35 # 0.012695313 0.022460938 20 32
36 $ 0.022949219 0.032714844 20 32
37 % 0.033203125 0.04296875 20 32
38 & 0.043457031 0.053222656 20 32
39 ' 0.053710938 0.05859375 10 32
40 ( 0.059082031 0.067382813 17 32
41 ) 0.067871094 0.076171875 17 32
42 * 0.076660156 0.084960938 17 32
43 + 0.085449219 0.095214844 20 32
44 , 0.095703125 0.099121094 7 32
45 - 0.099609375 0.109375 20 32
46 . 0.109863281 0.11328125 7 32
47 / 0.113769531 0.123535156 20 32
48 0 0.124023438 0.133789063 20 32
49 1 0.134277344 0.144042969 20 32
50 2 0.14453125 0.154296875 20 32
51 3 0.154785156 0.164550781 20 32
52 4 0.165039063 0.174804688 20 32
53 5 0.175292969 0.185058594 20 32
54 6 0.185546875 0.1953125 20 32
55 7 0.195800781 0.205566406 20 32
56 8 0.206054688 0.215820313 20 32
57 9 0.216308594 0.226074219 20 32
58 : 0.2265625 0.229980469 7 32
59 ; 0.23046875 0.233886719 7 32
60 < 0.234375 0.242675781 17 32
61 = 0.243164063 0.252929688 20 32
62 > 0.253417969 0.26171875 17 32
63 ? 0.262207031 0.271972656 20 32
64 @ 0.272460938 0.283691406 23 32
65 A 0.284179688 0.293945313 20 32
66 B 0.294433594 0.304199219 20 32
67 C 0.3046875 0.314453125 20 32
68 D 0.314941406 0.324707031 20 32
69 E 0.325195313 0.334960938 20 32
70 F 0.335449219 0.345214844 20 32
71 G 0.345703125 0.35546875 20 32
72 H 0.355957031 0.365722656 20 32
73 I 0.366210938 0.372558594 13 32
74 J 0.373046875 0.3828125 20 32
75 K 0.383300781 0.393066406 20 32
76 L 0.393554688 0.403320313 20 32
77 M 0.403808594 0.413574219 20 32
78 N 0.4140625 0.423828125 20 32
79 O 0.424316406 0.434082031 20 32
80 P 0.434570313 0.444335938 20 32
81 Q 0.444824219 0.454589844 20 32
82 R 0.455078125 0.46484375 20 32
83 S 0.465332031 0.475097656 20 32
84 T 0.475585938 0.485351563 20 32
85 U 0.485839844 0.495605469 20 32
86 V 0.49609375 0.505859375 20 32
87 W 0.506347656 0.516113281 20 32
88 X 0.516601563 0.526367188 20 32
89 Y 0.526855469 0.536621094 20 32
90 Z 0.537109375 0.546875 20 32
91 [ 0 0 0 0
92 \ 0 0 0 0
93 ] 0 0 0 0
94 ^ 0 0 0 0
95 _ 0 0 0 0
96 ` 0 0 0 0
97 a 0.547363281 0.557128906 20 32
98 b 0.557617188 0.567382813 20 32
99 c 0.567871094 0.577636719 20 32
100 d 0.578125 0.587890625 20 32
101 e 0.588378906 0.598144531 20 32
102 f 0.598632813 0.606445313 16 32
103 g 0.606933594 0.616699219 20 32
104 h 0.6171875 0.626953125 20 32
105 i 0.627441406 0.630859375 7 32
106 j 0.631347656 0.641113281 20 32
107 k 0.641601563 0.649902344 17 32
108 l 0.650390625 0.655273438 10 32
109 m 0.655761719 0.665527344 20 32
110 n 0.666015625 0.67578125 20 32
111 o 0.676269531 0.686035156 20 32
112 p 0.686523438 0.696289063 20 32
113 q 0.696777344 0.706542969 20 32
114 r 0.70703125 0.716796875 20 32
115 s 0.717285156 0.727050781 20 32
116 t 0.727539063 0.733886719 13 32
117 u 0.734375 0.744140625 20 32
118 v 0.744628906 0.754394531 20 32
119 w 0.754882813 0.764648438 20 32
120 x 0.765136719 0.774902344 20 32
121 y 0.775390625 0.78515625 20 32
122 z 0.785644531 0.795410156 20 32
123 { 0.795898438 0.804199219 17 32
124 | 0.8046875 0.808105469 7 32
125 } 0.80859375 0.816894531 17 32
126 ~ 0.817382813 0.828613281 23 32
